Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Centro Deportivo Municipal Cerro Almodóvar,18.0,villa de vallecas,448872.0,4470296.0,4038168570611530,-3602336460953480,['Gimnasios']
Centro Deportivo Municipal Chamartín,5.0,chamartin,442779.0,4479368.0,4046113349830690,-3676208246061120,['Gimnasios']
Centro Deportivo Municipal Circuito BMX,2.0,arganzuela,441446.0,4470778.0,40385539006771200,-36898722494765296,['CanchasBaloncesto']
Centro Deportivo Municipal Ciudad de los Poetas,9.0,moncloa-aravaca,439052.0,4479721.0,40465920678080800,-37189325594658496,['Gimnasios']
Centro Deportivo Municipal Concepción,15.0,ciudad lineal,445003.0,4476493.0,4043725652047250,-36484498132292000,['Gimnasios']
Centro Deportivo Municipal Daoíz y Velarde 1,3.0,retiro,442528.0,4472638.0,4040236990974130,-36772808932293200,['Gimnasios']
Centro Deportivo Municipal Daoíz y Velarde 2,3.0,retiro,442475.0,4472465.0,40400799189712304,-36778902970366800,['Gimnasios']
Centro Deportivo Municipal El Espinillo,17.0,villaverde,441698.0,4467536.0,4035634193991930,-3686595141820630,['Piscinas']
Centro Deportivo Municipal El Olivillo,10.0,latina,436711.0,4473147.0,4040652470221460,-3745889233801080,['Gimnasios']
Centro Deportivo Municipal El Quijote (antiguo Francos Rodríguez),9.0,moncloa-aravaca,439535.0,4478347.0,4045358753138910,-3713093094582230,['Piscinas']
Centro Deportivo Municipal Entrevías,13.0,puente de vallecas,442741.0,4469977.0,40378413212706200,-3674532317137480,['CamposEstadiosFutbol']
Centro Deportivo Municipal Escuelas de San Antón,1.0,centro,440704.0,4475035.0,4042382670120850,-3699010103263690,['Gimnasios']
Centro Deportivo Municipal Estanque del Retiro,3.0,retiro,441930.0,4474426.0,40418436005960800,-36845031319515696,['Embarcaderos']
Centro Deportivo Municipal Fabián Roncero,20.0,san blas-canillejas,449327.0,4477838.0,4044965684114440,-3597577201182500,['Gimnasios']
Centro Deportivo Municipal Faustina Valladolid (antiguo Valdebernardo),19.0,vicalvaro,447145.0,4472806.0,4040418961057290,-3622901144863190,['Gimnasios']
Centro Deportivo Municipal Fernando Martín,9.0,moncloa-aravaca,439619.0,4479162.0,40460935404623104,-37121918299288600,['Gimnasios']
Centro Deportivo Municipal Francisco Fernández Ochoa,11.0,carabanchel,437097.0,4468625.0,4036581776978110,-3740893980533780,['Gimnasios']
Centro Deportivo Municipal Fuente del Berro,4.0,salamanca,443566.0,4474779.0,4042171956854870,-36652515154670096,['Gimnasios']
Centro Deportivo Municipal Félix Rubio,17.0,villaverde,441281.0,4467659.0,40357429678675200,-3691528804696940,['Rocodromo']
Centro Deportivo Municipal Gallur,10.0,latina,437595.0,4472245.0,40398465832065,-37353834506869200,['Gimnasios']
Centro Deportivo Municipal Gimnasio Moscardó,4.0,salamanca,442795.0,4476586.0,40437945289676896,-3674502029997260,['Gimnasios']
Centro Deportivo Municipal Hortaleza,16.0,hortaleza,444784.0,4481305.0,404787279264401,-36527183525553000,['Gimnasios']
Centro Deportivo Municipal José María Cagigal,9.0,moncloa-aravaca,437491.0,4475985.0,4043214955342780,-37369645992831296,['Gimnasios']
Centro Deportivo Municipal Juan de Dios Román,18.0,villa de vallecas,448616.0,4468325.0,4036391581480000,-360518607500416,['Gimnasios']
Centro Deportivo Municipal La Almudena,15.0,ciudad lineal,446349.0,4474634.0,4042060649869600,-36324237307227600,['Piscinas']
Centro Deportivo Municipal La Bombilla,9.0,moncloa-aravaca,437917.0,4476038.0,4043266791217280,-3731947836490640,['PistasTenisBadminton']
Centro Deportivo Municipal La Cebada (antigua La Latina),1.0,centro,439809.0,4473567.0,40410546084176496,-370940146763504,['Gimnasios']
Centro Deportivo Municipal La Chopera,3.0,retiro,441823.0,4473675.0,4041167030849670,-36856756521012096,['Gimnasios']
Centro Deportivo Municipal La Elipa,14.0,moratalaz,444349.0,4473952.0,4041433123768480,-36559498758522800,['Gimnasios']
