 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11885107,Pilates para el cerebro. Grupo II,carabanchel,438758.0,4471886.0,4.03953264068879e+16,-3721622686264930.0,['CursosTalleres']
11909695,Pildoritas,villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['TeatroPerformance']
11768307,Pinta la calle,centro,439759.0,4475508.0,4042802889001870.0,-3710182353581840.0,[]
11912074,Pintamúsica,san blas-canillejas,446636.0,4477644.0,4044774002225860.0,-3.62928745422916e+16,['TeatroPerformance']
11911941,Pintamúsica,san blas-canillejas,446636.0,4477644.0,4044774002225860.0,-3.62928745422916e+16,['TeatroPerformance']
11944305,Pintando en la cocina,centro,440474.0,4473465.0,4040966697102750.0,-3701574291636870.0,['Exposiciones']
11919142,Pintura realista - César González,chamartin,442656.0,4477714.0,4044810636195710.0,-3.67623096200973e+16,['Exposiciones']
11934118,Pipoesía,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11748362,Piragüismo por Madrid,barajas,447867.0,4478996.0,4045999848510340.0,-3.61488887063035e+16,['ActividadesDeportivas']
11884735,Pisando fuerte,tetuan,440857.0,4480052.0,4046903299144090.0,-3.69766200679649e+16,['ConferenciasColoquios']
11932982,Play-Pipo,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11945864,Poesia del Siglo XX hasta hoy,moncloa-aravaca,439028.0,4476311.0,4.04352093938266e+16,-3.71887651631882e+16,['TeatroPerformance']
11957533,Poesía y primavera en Canillejas,san blas-canillejas,448119.0,4477485.0,4044640229188280.0,-3.6117933204271e+16,['CuentacuentosTiteresMarionetas']
11922500,Polichinela. El Retablo (Madrid),retiro,441748.0,4474466.0,4041878362561590.0,-3.68665194710036e+16,['CuentacuentosTiteresMarionetas']
11945706,Ponencia 'Mis montañas',moncloa-aravaca,439102.0,4478967.0,4045914104116340.0,-3718270563679260.0,['ConferenciasColoquios']
11911177,Porque yo lo valgo: autoestima y vínculos,barajas,449784.0,4480499.0,4.04736591049753e+16,-3592395079190450.0,['CursosTalleres']
11933500,Práctica de ajedrez,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
